<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;210629;000000;5284.5000000;5371.5000000;5270.0000000;5324.0000000;233777
MGNT;D;210630;000000;5353.0000000;5355.0000000;5280.0000000;5301.0000000;247627
MGNT;D;210701;000000;5290.0000000;5324.0000000;5271.0000000;5282.5000000;174350
MGNT;D;210702;000000;5288.5000000;5303.0000000;5225.5000000;5250.0000000;300406
MGNT;D;210705;000000;5261.0000000;5283.0000000;5221.0000000;5232.0000000;196005
MGNT;D;210706;000000;5230.0000000;5311.0000000;5202.0000000;5241.0000000;371745
MGNT;D;210707;000000;5264.5000000;5328.0000000;5239.5000000;5310.0000000;303941
MGNT;D;210708;000000;5310.0000000;5357.5000000;5245.0000000;5344.0000000;307485
MGNT;D;210709;000000;5352.0000000;5368.0000000;5302.0000000;5322.5000000;237858
MGNT;D;210712;000000;5329.5000000;5370.0000000;5320.0000000;5365.0000000;136407
MGNT;D;210713;000000;5369.0000000;5417.5000000;5344.5000000;5416.5000000;323005
MGNT;D;210714;000000;5423.0000000;5425.0000000;5382.5000000;5385.0000000;189647
MGNT;D;210715;000000;5385.0000000;5437.5000000;5287.5000000;5308.0000000;326007
MGNT;D;210716;000000;5308.0000000;5335.0000000;5205.0000000;5235.0000000;295663
MGNT;D;210719;000000;5214.0000000;5237.0000000;5055.5000000;5099.0000000;402003
MGNT;D;210720;000000;5109.5000000;5133.0000000;5067.5000000;5096.5000000;174190
MGNT;D;210721;000000;5110.0000000;5149.0000000;5080.0000000;5142.0000000;151683
MGNT;D;210722;000000;5152.0000000;5159.5000000;5071.0000000;5128.0000000;218313
MGNT;D;210723;000000;5136.5000000;5168.0000000;5104.0000000;5130.0000000;183417
MGNT;D;210726;000000;5119.0000000;5215.0000000;5097.0000000;5215.0000000;279104
MGNT;D;210727;000000;5225.0000000;5247.5000000;5155.5000000;5198.5000000;255886
MGNT;D;210728;000000;5209.5000000;5278.5000000;5200.0000000;5265.0000000;235611
MGNT;D;210729;000000;5307.5000000;5375.0000000;5261.0000000;5347.0000000;292396
MGNT;D;210730;000000;5340.0000000;5399.5000000;5326.5000000;5337.0000000;346837
MGNT;D;210802;000000;5361.0000000;5376.0000000;5306.0000000;5321.0000000;216911
MGNT;D;210803;000000;5344.0000000;5395.0000000;5324.0000000;5383.0000000;234165
MGNT;D;210804;000000;5398.0000000;5456.0000000;5386.5000000;5415.0000000;297281
MGNT;D;210805;000000;5415.0000000;5515.0000000;5404.5000000;5489.5000000;506706
